"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Martín Pérez","TEX","32","32","191.0","11","12","17","0","0","195","88","22","160","67","1.37","7.53","3.13","4.13","4.14","","1.9","1.7","","999.0","6902"
"Tyler Mahle","MIN","29","29","169.0","10","11","14","0","0","162","79","24","165","56","1.29","8.78","2.99","4.20","4.11","","1.8","1.4","","999.0","16358"
"Jeffrey Springs","TBR","26","26","141.0","9","8","12","0","0","128","58","19","140","43","1.21","8.97","2.75","3.74","3.83","","1.8","1.8","","999.0","17677"
"JT Brubaker","PIT","29","29","163.0","9","11","13","0","0","163","78","22","151","55","1.33","8.31","3.01","4.30","4.16","","1.8","1.6","","999.0","17578"
"Corey Kluber","","29","29","165.0","9","11","13","0","0","173","82","25","132","39","1.28","7.22","2.11","4.45","4.36","","1.8","1.3","","999.0","2429"
"Carlos Carrasco","NYM","29","29","158.0","10","10","13","0","0","154","70","21","149","45","1.26","8.47","2.58","3.95","3.91","","1.8","1.6","","999.0","6632"
"Tyler Anderson","LAA","31","31","185.0","11","11","15","0","0","191","90","30","147","47","1.29","7.12","2.29","4.39","4.48","","1.8","1.5","","999.0","12880"
"Trevor Rogers","MIA","23","35","132.0","8","8","10","0","1","120","55","15","136","46","1.25","9.30","3.12","3.77","3.73","","1.7","1.9","","999.0","22286"
"Spencer Turnbull","DET","21","35","133.0","7","8","10","0","1","129","58","13","117","44","1.30","7.94","2.94","3.94","3.81","","1.7","1.5","","999.0","16207"
"Graham Ashcraft","CIN","26","26","150.0","8","10","12","0","0","162","75","18","117","51","1.42","7.05","3.07","4.49","4.31","","1.7","1.7","","999.0","27552"
"Grayson Rodriguez","BAL","23","23","129.0","8","8","11","0","0","117","55","17","134","43","1.23","9.36","2.99","3.82","3.82","","1.7","1.7","","999.0","sa3008130"
"Mitch Keller","PIT","29","29","164.0","9","11","13","0","0","165","80","19","142","63","1.39","7.76","3.47","4.38","4.22","","1.7","1.5","","999.0","17594"
"Patrick Corbin","WSN","29","29","163.0","9","11","12","0","0","168","79","23","133","51","1.34","7.33","2.81","4.37","4.37","","1.6","1.6","","999.0","9323"
"Steven Matz","STL","19","39","124.0","8","7","9","0","1","115","51","16","118","34","1.20","8.61","2.45","3.74","3.77","","1.5","1.7","","999.0","13361"
"Nick Pivetta","BOS","32","32","185.0","10","12","14","0","0","184","96","28","176","71","1.38","8.57","3.46","4.70","4.44","","1.5","1.2","","999.0","15454"
"Michael Wacha","","28","28","153.0","9","10","12","0","0","158","75","23","128","43","1.31","7.53","2.50","4.43","4.37","","1.5","1.2","","999.0","14078"
"Kenta Maeda","MIN","24","34","146.0","9","9","11","0","1","142","67","20","136","42","1.27","8.39","2.62","4.13","4.01","","1.5","1.3","","999.0","18498"
"Taijuan Walker","","29","29","161.0","9","10","12","0","0","165","80","24","132","51","1.34","7.37","2.86","4.47","4.50","","1.5","1.4","","999.0","11836"
"Aaron Civale","CLE","24","24","134.0","8","8","11","0","0","134","62","19","120","35","1.26","8.03","2.32","4.18","4.10","","1.5","1.3","","999.0","19479"
"Tanner Houck","BOS","15","53","117.0","7","7","6","2","1","109","50","12","123","41","1.28","9.43","3.16","3.85","3.57","","1.4","1.5","","999.0","19879"
"Zach Eflin","TBR","26","26","146.0","9","9","12","0","0","146","66","20","123","35","1.24","7.62","2.17","4.05","4.01","","1.4","1.3","","999.0","13774"
"Tony Gonsolin","LAD","28","28","153.0","9","9","12","0","0","151","74","23","148","51","1.32","8.72","3.03","4.37","4.23","","1.4","1.2","","999.0","19388"
"Matthew Boyd","DET","26","26","153.0","8","10","13","0","0","148","71","22","141","46","1.27","8.27","2.71","4.19","4.19","","1.4","1.5","","999.0","15440"
"Kyle Bradish","BAL","28","28","155.0","9","10","13","0","0","149","71","20","144","55","1.32","8.40","3.18","4.12","4.12","","1.4","1.4","","999.0","24586"
"Ross Stripling","SFG","24","38","144.0","8","9","10","0","1","148","67","20","119","35","1.27","7.44","2.21","4.22","4.06","","1.4","1.3","","999.0","13273"
"Edward Cabrera","MIA","24","24","132.0","8","9","11","0","0","120","60","16","138","57","1.34","9.42","3.88","4.08","4.06","","1.4","1.4","","999.0","21690"
"Edwin Díaz","NYM","0","64","64.0","4","2","0","34","1","41","17","5","100","22","0.98","14.00","3.05","2.44","2.22","","1.4","1.3","","999.0","14710"
"Ken Waldichuk","OAK","23","23","127.0","7","8","11","0","0","114","55","16","127","48","1.28","9.05","3.44","3.88","4.02","","1.4","1.4","","999.0","27681"
"Kyle Gibson","BAL","29","29","172.0","10","11","14","0","0","179","81","22","142","53","1.35","7.42","2.78","4.23","4.22","","1.3","1.3","","999.0","10123"
"Hunter Brown","HOU","10","54","100.0","6","5","5","0","1","87","38","9","109","39","1.27","9.81","3.52","3.41","3.40","","1.3","1.4","","999.0","25880"
"Adrian Morejon","SDP","13","57","116.0","7","6","6","0","1","103","49","15","117","41","1.24","9.12","3.15","3.79","3.96","","1.3","1.2","","999.0","20039"
"Eric Lauer","MIL","28","28","156.0","9","10","12","0","0","148","74","24","150","59","1.32","8.69","3.39","4.30","4.42","","1.3","1.8","","999.0","19316"
"Drew Smyly","","24","24","129.0","8","9","9","0","0","129","63","20","115","39","1.30","8.00","2.73","4.39","4.38","","1.3","1.1","","999.0","11760"
"Kyle Freeland","COL","31","31","178.0","8","13","11","0","0","213","107","29","130","55","1.51","6.58","2.77","5.42","4.83","","1.3","1.1","","999.0","16256"
"Andrés Muñoz","SEA","0","65","65.0","4","2","0","10","10","44","17","5","95","22","1.01","13.22","3.03","2.40","2.32","","1.3","1.3","","999.0","20373"
"Kyle Muller","OAK","23","23","125.0","7","8","11","0","0","115","54","14","117","48","1.31","8.48","3.45","3.89","3.99","","1.3","1.4","","999.0","20167"
"Liam Hendriks","CHW","0","68","68.0","4","3","0","32","2","51","22","8","94","17","1.00","12.42","2.28","2.92","2.70","","1.3","1.0","","999.0","3548"
"Adam Wainwright","STL","28","28","167.0","10","10","14","0","0","177","81","22","121","49","1.36","6.53","2.64","4.36","4.37","","1.3","1.3","","999.0","2233"
"Paul Blackburn","OAK","28","28","157.0","8","11","13","0","0","165","74","19","116","45","1.34","6.63","2.59","4.24","4.19","","1.3","0.8","","999.0","14739"
"MacKenzie Gore","WSN","23","23","129.0","7","9","10","0","0","121","61","17","124","57","1.38","8.66","4.01","4.25","4.39","","1.3","1.5","","999.0","22201"
"Mike Clevinger","CHW","28","28","151.0","9","10","11","0","0","152","76","26","132","44","1.30","7.89","2.64","4.55","4.58","","1.3","0.9","","999.0","12808"
"José Suarez","LAA","26","26","141.0","8","9","10","0","0","139","68","20","124","49","1.34","7.93","3.13","4.35","4.42","","1.2","1.2","","999.0","19911"
"Jhoan Duran","MIN","0","68","68.0","4","3","0","11","9","51","20","5","91","24","1.10","12.10","3.15","2.62","2.49","","1.2","1.2","","999.0","21029"
"Danny Duffy","","16","40","114.0","7","7","7","0","0","105","50","16","116","37","1.24","9.15","2.93","3.95","3.97","","1.2","1.3","","999.0","3542"
"Bailey Ober","MIN","23","23","123.0","7","8","9","0","0","123","59","19","113","31","1.25","8.27","2.28","4.33","4.17","","1.2","0.9","","999.0","21224"
"Jack Flaherty","STL","26","31","145.0","9","9","11","0","1","137","66","20","135","50","1.29","8.39","3.14","4.13","4.23","","1.2","1.5","","999.0","17479"
"Josiah Gray","WSN","29","29","170.0","8","12","12","0","0","162","91","30","171","69","1.36","9.07","3.66","4.81","4.78","","1.2","1.1","","999.0","24580"
"Noah Syndergaard","","28","28","153.0","9","10","10","0","0","168","82","24","114","39","1.35","6.69","2.28","4.82","4.54","","1.2","0.4","","999.0","11762"
"James Paxton","BOS","19","27","117.0","7","7","8","0","1","112","55","17","116","40","1.30","8.96","3.11","4.26","4.10","","1.2","1.3","","999.0","11828"
"Daniel Lynch","KCR","24","24","131.0","7","9","10","0","0","130","63","17","111","48","1.36","7.60","3.32","4.32","4.30","","1.2","1.4","","999.0","21537"
"Nick Martinez","SDP","21","39","136.0","8","8","9","0","1","133","64","18","121","51","1.35","7.98","3.34","4.23","4.29","","1.2","1.0","","999.0","12730"
"Tylor Megill","NYM","11","31","81.0","5","4","5","0","1","73","33","10","89","23","1.18","9.83","2.58","3.62","3.53","","1.1","1.0","","999.0","21318"
"Emmanuel Clase","CLE","0","70","70.0","4","3","0","35","2","59","22","5","79","19","1.11","10.17","2.41","2.77","2.69","","1.1","1.2","","999.0","21032"
"Cal Quantrill","CLE","29","29","169.0","9","11","13","0","0","178","87","25","128","49","1.35","6.79","2.62","4.61","4.56","","1.1","0.8","","999.0","19312"
"David Peterson","NYM","8","48","83.0","5","4","4","0","1","70","30","8","95","31","1.22","10.27","3.37","3.21","3.34","","1.1","1.2","","999.0","20302"
"Wade Miley","","23","23","125.0","7","8","9","0","0","137","61","15","85","42","1.43","6.10","3.01","4.38","4.44","","1.1","1.0","","999.0","8779"
"Josh Hader","SDP","0","66","66.0","4","3","0","32","1","44","21","7","97","26","1.06","13.28","3.57","2.90","2.94","","1.1","1.1","","999.0","14212"
"Drey Jameson","ARI","19","19","111.0","6","7","9","0","0","114","52","13","92","37","1.36","7.39","3.02","4.22","4.08","","1.1","1.2","","999.0","26260"
"Mike Soroka","ATL","16","42","118.0","7","7","7","0","1","124","55","14","94","33","1.33","7.19","2.53","4.17","4.00","","1.1","1.0","","999.0","18383"
"Antonio Senzatela","COL","26","26","145.0","7","11","8","0","0","181","86","21","89","38","1.51","5.50","2.35","5.35","4.73","","1.1","1.0","","999.0","15488"
"Cade Cavalli","WSN","23","23","129.0","7","9","10","0","0","122","63","17","119","55","1.38","8.33","3.85","4.40","4.45","","1.1","1.3","","999.0","27473"
"José Urquidy","HOU","28","28","157.0","9","10","12","0","0","161","80","27","131","39","1.28","7.53","2.25","4.60","4.55","","1.1","0.8","","999.0","18413"
"Matt Manning","DET","24","24","136.0","7","10","10","0","0","142","69","18","101","47","1.38","6.65","3.09","4.57","4.51","","1.1","0.7","","999.0","20369"
"Yusei Kikuchi","TOR","16","42","111.0","7","6","7","0","1","99","48","14","115","43","1.28","9.37","3.50","3.87","3.98","","1.1","1.2","","999.0","20633"
"Tarik Skubal","DET","13","13","71.0","4","4","6","0","0","66","30","9","72","22","1.22","9.16","2.73","3.75","3.72","","1.1","1.1","","999.0","22267"
"JP Sears","OAK","15","31","96.0","5","6","7","0","1","92","41","12","85","30","1.27","7.99","2.82","3.87","3.99","","1.1","0.8","","999.0","23429"
"Mike Minor","","24","24","134.0","7","9","10","0","0","139","69","21","109","42","1.34","7.31","2.78","4.61","4.62","","1.1","0.7","","999.0","10021"
"Michael Kopech","CHW","24","36","141.0","8","10","8","0","1","132","71","22","141","59","1.36","9.00","3.76","4.58","4.54","","1.0","0.6","","999.0","17282"
"Braxton Garrett","MIA","13","51","109.0","6","7","6","0","1","105","47","12","101","35","1.29","8.35","2.92","3.89","3.86","","1.0","1.1","","999.0","21844"
"Zack Greinke","","24","24","136.0","8","9","10","0","0","152","69","21","90","28","1.33","5.99","1.85","4.55","4.47","","1.0","0.9","","999.0","1943"
"Luis Ortiz","PIT","13","13","72.0","4","5","6","0","0","70","34","9","65","26","1.34","8.10","3.27","4.21","4.12","","1.0","0.8","","999.0","27646"
"Michael Lorenzen","","23","39","143.0","7","10","10","0","1","143","69","17","116","58","1.41","7.32","3.65","4.35","4.33","","1.0","0.8","","999.0","14843"
"Kris Bubic","KCR","26","26","142.0","8","10","11","0","0","141","70","18","120","61","1.42","7.62","3.87","4.42","4.45","","1.0","1.5","","999.0","21455"
"Stephen Strasburg","WSN","15","15","81.0","4","6","6","0","0","83","40","12","68","26","1.35","7.58","2.92","4.49","4.41","","1.0","0.7","","999.0","10131"
"Cole Irvin","OAK","31","31","187.0","9","13","15","0","0","198","91","27","132","46","1.30","6.36","2.20","4.40","4.46","","1.0","0.9","","999.0","19244"
"Rich Hill","","19","19","102.0","6","7","7","0","0","103","50","15","88","33","1.33","7.77","2.91","4.40","4.39","","1.0","0.8","","999.0","4806"
"Ryan Helsley","STL","0","68","68.0","4","3","0","30","3","51","23","7","88","26","1.14","11.65","3.51","3.07","3.10","","1.0","1.0","","999.0","18138"
"Jake Odorizzi","TEX","18","58","133.0","7","9","6","0","1","133","64","21","115","39","1.30","7.81","2.64","4.37","4.38","","0.9","0.6","","999.0","6397"
"Brad Keller","KCR","16","38","112.0","6","7","7","0","1","116","53","11","88","43","1.41","7.02","3.44","4.24","4.14","","0.9","1.0","","999.0","15734"
"Bailey Falter","PHI","16","40","112.0","6","7","6","0","1","111","53","19","102","28","1.24","8.24","2.24","4.28","4.32","","0.9","1.0","","999.0","20070"
"José Alvarado","PHI","0","65","65.0","4","3","0","13","9","47","21","5","89","33","1.24","12.38","4.64","2.86","3.03","","0.9","1.1","","999.0","17780"
"Johnny Cueto","","26","26","152.0","8","10","11","0","0","167","79","23","106","41","1.37","6.29","2.44","4.68","4.63","","0.9","0.7","","999.0","6893"
"Dane Dunning","TEX","15","45","108.0","6","7","6","0","1","108","49","12","96","38","1.35","7.99","3.18","4.08","4.01","","0.9","0.8","","999.0","19409"
"Ryne Nelson","ARI","23","23","130.0","7","9","9","0","0","132","67","20","107","45","1.36","7.41","3.13","4.67","4.61","","0.8","0.9","","999.0","26253"
"Pete Fairbanks","TBR","0","65","65.0","4","3","0","18","9","49","21","6","84","23","1.11","11.69","3.24","2.92","2.86","","0.8","0.9","","999.0","17998"
"Jordan Lyles","","29","29","172.0","9","12","12","0","0","185","93","28","131","53","1.39","6.88","2.76","4.89","4.76","","0.8","0.5","","999.0","7593"
"Dean Kremer","BAL","28","28","159.0","9","11","12","0","0","163","80","24","128","50","1.34","7.25","2.83","4.52","4.55","","0.8","0.8","","999.0","19350"
"Johan Oviedo","PIT","16","36","107.0","6","7","6","0","1","105","52","13","94","45","1.41","7.90","3.82","4.39","4.35","","0.8","0.7","","999.0","22487"
"Trevor Williams","WSN","21","39","130.0","7","9","7","0","1","138","69","21","101","41","1.38","7.02","2.84","4.80","4.74","","0.8","0.6","","999.0","16977"
"Félix Bautista","BAL","0","66","66.0","4","3","0","29","2","50","23","7","87","27","1.17","11.85","3.72","3.14","3.15","","0.8","0.8","","999.0","20666"
"Adbert Alzolay","CHC","2","66","73.0","4","4","1","5","10","66","30","9","77","22","1.20","9.53","2.71","3.69","3.60","","0.8","0.7","","999.0","17859"
"A.J. Minter","ATL","0","68","68.0","4","3","0","2","13","56","24","7","84","23","1.16","11.06","3.09","3.24","3.14","","0.8","0.9","","999.0","18655"
"Ryan Pressly","HOU","0","62","62.0","4","3","0","30","3","52","21","6","72","19","1.14","10.47","2.70","3.10","3.01","","0.8","0.7","","999.0","7005"
"Brandon Pfaadt","ARI","13","13","74.0","4","5","6","0","0","73","35","11","66","19","1.24","8.10","2.29","4.24","4.13","","0.8","0.9","","999.0","sa3014983"
"Aaron Bummer","CHW","0","66","66.0","4","3","0","1","16","57","22","5","72","26","1.26","9.79","3.57","3.00","3.18","","0.8","0.8","","999.0","16258"
"Tyler Wells","BAL","26","26","136.0","8","10","9","0","0","139","70","24","114","39","1.30","7.50","2.55","4.61","4.65","","0.8","0.6","","999.0","20000"
"Devin Williams","MIL","0","65","65.0","4","3","0","28","2","49","22","6","84","29","1.20","11.69","4.07","3.12","3.20","","0.8","0.9","","999.0","15816"
