"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Jacob deGrom","TEX","29","29","172.0","12","8","20","0","0","129","51","17","236","35","0.95","12.32","1.85","2.64","2.35","","5.5","5.1","","999.0","10954"
"Corbin Burnes","MIL","32","32","197.0","13","9","21","0","0","161","69","21","239","55","1.10","10.92","2.51","3.15","3.03","","4.9","4.8","","999.0","19361"
"Carlos Rodón","","31","31","181.0","13","9","19","0","0","140","63","21","235","50","1.06","11.70","2.50","3.14","2.98","","4.5","4.0","","999.0","16137"
"Gerrit Cole","NYY","32","32","197.0","14","9","21","0","0","159","70","25","249","49","1.05","11.37","2.23","3.18","3.03","","4.4","4.1","","999.0","13125"
"Shohei Ohtani","LAA","29","29","173.0","12","8","18","0","0","139","61","19","217","51","1.09","11.27","2.64","3.15","3.05","","4.4","4.1","","999.0","19755"
"Max Scherzer","NYM","31","31","191.0","13","9","20","0","0","159","71","25","230","41","1.05","10.79","1.94","3.32","3.19","","4.3","3.6","","999.0","3137"
"Justin Verlander","NYM","31","31","190.0","13","9","19","0","0","163","71","25","214","39","1.06","10.16","1.83","3.36","3.29","","4.2","3.6","","999.0","8700"
"Aaron Nola","PHI","32","32","199.0","13","10","20","0","0","179","77","25","218","43","1.12","9.86","1.95","3.48","3.32","","4.2","4.2","","999.0","16149"
"Shane McClanahan","TBR","31","31","184.0","13","9","20","0","0","152","62","18","214","51","1.10","10.47","2.50","3.02","2.99","","4.0","4.1","","999.0","21483"
"Sandy Alcantara","MIA","32","32","211.0","12","12","22","0","0","198","83","21","200","55","1.20","8.56","2.33","3.55","3.42","","4.0","3.7","","999.0","18684"
"Zack Wheeler","PHI","31","31","189.0","12","10","19","0","0","173","72","21","190","45","1.15","9.02","2.16","3.44","3.38","","3.9","4.0","","999.0","10310"
"Spencer Strider","ATL","28","28","154.0","12","7","16","0","0","117","53","16","208","56","1.12","12.16","3.27","3.10","2.93","","3.7","3.9","","999.0","27498"
"Framber Valdez","HOU","31","31","196.0","13","9","21","0","0","180","70","14","185","68","1.27","8.53","3.15","3.24","3.32","","3.7","4.0","","999.0","17295"
"Shane Bieber","CLE","32","32","203.0","13","10","21","0","0","187","78","24","209","48","1.16","9.28","2.14","3.48","3.38","","3.7","3.6","","999.0","19427"
"Brandon Woodruff","MIL","31","31","182.0","12","10","18","0","0","156","70","23","209","51","1.13","10.29","2.50","3.47","3.39","","3.7","3.8","","999.0","16162"
"Nick Lodolo","CIN","29","29","176.0","11","10","17","0","0","152","72","21","207","60","1.21","10.61","3.10","3.67","3.58","","3.7","3.8","","999.0","26378"
"Kevin Gausman","TOR","31","31","181.0","13","9","18","0","0","161","70","23","197","39","1.11","9.80","1.95","3.48","3.34","","3.7","3.2","","999.0","14107"
"Luis Castillo","SEA","32","32","195.0","12","10","20","0","0","169","72","20","205","63","1.19","9.50","2.91","3.34","3.39","","3.5","3.4","","999.0","15689"
"Tyler Glasnow","TBR","28","28","160.0","11","8","16","0","0","125","57","17","204","52","1.11","11.47","2.91","3.19","3.02","","3.4","3.2","","999.0","14374"
"Clayton Kershaw","LAD","29","29","172.0","12","9","17","0","0","161","67","22","181","38","1.16","9.46","1.97","3.52","3.42","","3.4","3.2","","999.0","2036"
"Dylan Cease","CHW","32","32","188.0","12","11","17","0","0","156","77","24","227","74","1.22","10.90","3.54","3.72","3.68","","3.3","3.0","","999.0","18525"
"Max Fried","ATL","31","31","190.0","13","9","19","0","0","188","75","20","174","45","1.23","8.27","2.16","3.57","3.49","","3.2","3.5","","999.0","13743"
"Hunter Greene","CIN","29","29","168.0","10","10","15","0","0","142","74","25","212","62","1.21","11.35","3.33","3.97","3.80","","3.2","3.1","","999.0","22182"
"Blake Snell","SDP","29","29","160.0","12","8","15","0","0","128","60","19","195","62","1.18","10.97","3.47","3.40","3.45","","3.1","3.2","","999.0","13543"
"Alex Cobb","SFG","29","29","166.0","11","9","16","0","0","157","63","14","161","50","1.25","8.72","2.69","3.43","3.26","","3.1","3.2","","999.0","6562"
"Brady Singer","KCR","31","31","184.0","11","11","17","0","0","179","78","19","169","55","1.27","8.30","2.67","3.81","3.69","","3.1","3.2","","999.0","25377"
"Joe Musgrove","SDP","32","32","191.0","13","10","18","0","0","176","79","24","187","51","1.19","8.80","2.41","3.73","3.78","","3.1","2.9","","999.0","12970"
"Yu Darvish","SDP","32","32","200.0","13","10","19","0","0","181","86","29","207","48","1.15","9.35","2.17","3.88","3.77","","3.1","2.8","","999.0","13074"
"Zac Gallen","ARI","31","31","182.0","11","10","17","0","0","167","76","21","194","57","1.23","9.57","2.82","3.77","3.55","","3.0","3.1","","999.0","19291"
"Logan Webb","SFG","32","32","193.0","12","11","18","0","0","194","80","17","165","55","1.29","7.70","2.55","3.74","3.53","","3.0","3.0","","999.0","17995"
"Chris Sale","BOS","26","26","151.0","10","8","15","0","0","131","58","17","177","42","1.15","10.57","2.52","3.47","3.24","","3.0","3.1","","999.0","10603"
"Pablo López","MIA","31","31","178.0","10","11","16","0","0","167","74","21","173","51","1.23","8.76","2.58","3.74","3.67","","2.8","2.8","","999.0","17085"
"Lance Lynn","CHW","31","31","183.0","11","11","17","0","0","175","79","26","177","43","1.19","8.72","2.10","3.90","3.85","","2.8","2.4","","999.0","2520"
"Julio Urías","LAD","32","32","190.0","12","10","17","0","0","184","85","28","183","50","1.23","8.67","2.38","4.04","4.01","","2.8","2.3","","999.0","14765"
"Alek Manoah","TOR","32","32","199.0","12","11","18","0","0","185","90","28","195","61","1.23","8.83","2.74","4.07","4.08","","2.6","2.1","","999.0","26410"
"Charlie Morton","ATL","29","29","166.0","11","9","15","0","0","151","70","20","181","54","1.23","9.85","2.91","3.80","3.63","","2.6","2.7","","999.0","4676"
"Patrick Sandoval","LAA","29","29","166.0","11","9","15","0","0","152","69","19","166","62","1.29","8.98","3.36","3.71","3.82","","2.6","2.6","","999.0","19447"
"Jordan Montgomery","STL","31","31","176.0","12","9","16","0","0","168","72","21","157","47","1.22","8.01","2.40","3.67","3.76","","2.5","2.9","","999.0","16511"
"Robbie Ray","SEA","32","32","191.0","12","11","18","0","0","164","80","28","219","63","1.19","10.32","2.97","3.77","3.82","","2.5","2.4","","999.0","11486"
"Andrew Heaney","TEX","26","26","140.0","9","8","13","0","0","119","55","19","162","38","1.13","10.44","2.45","3.57","3.53","","2.5","2.5","","999.0","15423"
"Jon Gray","TEX","31","31","174.0","10","11","15","0","0","163","76","22","177","56","1.26","9.16","2.90","3.92","3.80","","2.5","2.1","","999.0","14916"
"Kyle Wright","ATL","31","31","184.0","12","10","17","0","0","181","81","20","172","60","1.31","8.39","2.93","3.94","3.78","","2.4","2.6","","999.0","19665"
"Nathan Eovaldi","","28","28","155.0","10","9","13","0","0","153","67","21","139","35","1.21","8.05","2.04","3.90","3.84","","2.3","2.1","","999.0","9132"
"Cristian Javier","HOU","29","29","168.0","11","9","15","0","0","139","75","25","203","66","1.22","10.85","3.55","3.99","3.98","","2.3","2.2","","999.0","17606"
"Marcus Stroman","CHC","31","31","178.0","10","11","15","0","0","185","79","20","145","49","1.31","7.33","2.46","4.01","3.87","","2.3","2.3","","999.0","13431"
"Luis Severino","NYY","26","26","145.0","10","8","13","0","0","127","57","18","161","44","1.18","10.02","2.73","3.56","3.55","","2.3","2.3","","999.0","15890"
"Frankie Montas","NYY","28","28","154.0","10","9","14","0","0","143","65","20","153","44","1.22","8.92","2.60","3.78","3.81","","2.3","2.0","","999.0","14309"
"George Kirby","SEA","26","26","143.0","9","8","13","0","0","133","57","17","137","33","1.16","8.61","2.06","3.59","3.59","","2.3","2.1","","999.0","25436"
"Chris Bassitt","","31","31","180.0","11","10","16","0","0","175","81","23","161","50","1.25","8.03","2.52","4.03","4.02","","2.3","2.0","","999.0","12304"
"Germán Márquez","COL","32","32","193.0","10","13","14","0","0","214","104","28","169","64","1.44","7.86","2.96","4.87","4.34","","2.2","2.2","","999.0","15038"
"Nestor Cortes","NYY","29","29","167.0","11","10","15","0","0","152","73","26","177","48","1.20","9.52","2.59","3.92","3.96","","2.2","1.9","","999.0","17874"
"Ranger Suárez","PHI","31","31","174.0","11","10","15","0","0","173","76","19","148","63","1.36","7.64","3.27","3.91","4.03","","2.2","2.5","","999.0","17277"
"Drew Rasmussen","TBR","31","31","173.0","11","10","15","0","0","167","74","21","156","49","1.25","8.08","2.56","3.82","3.81","","2.2","2.0","","999.0","25385"
"Triston McKenzie","CLE","31","31","184.0","11","11","16","0","0","166","84","29","192","59","1.23","9.40","2.88","4.11","4.14","","2.2","2.1","","999.0","18000"
"Sonny Gray","MIN","28","28","151.0","9","9","12","0","0","145","67","17","146","52","1.30","8.69","3.07","4.00","3.84","","2.2","1.6","","999.0","12768"
"Eduardo Rodriguez","DET","29","29","169.0","10","11","15","0","0","165","74","20","152","55","1.30","8.08","2.93","3.94","3.92","","2.2","2.1","","999.0","13164"
"Logan Gilbert","SEA","31","31","176.0","11","11","16","0","0","163","75","24","173","47","1.19","8.84","2.41","3.84","3.86","","2.2","2.0","","999.0","22250"
"Dustin May","LAD","19","33","121.0","8","6","9","0","1","109","49","14","133","39","1.22","9.89","2.90","3.65","3.50","","2.1","1.9","","999.0","19716"
"Merrill Kelly","ARI","32","32","197.0","11","12","17","0","0","200","93","26","169","60","1.32","7.72","2.73","4.26","4.12","","2.1","2.3","","999.0","11156"
"Aaron Ashby","MIL","21","37","127.0","8","7","10","0","1","110","48","12","138","53","1.28","9.78","3.76","3.43","3.51","","2.1","2.5","","999.0","23550"
"Joe Ryan","MIN","29","29","170.0","10","10","14","0","0","156","79","26","175","51","1.22","9.31","2.72","4.18","4.10","","2.1","1.6","","999.0","21390"
"Miles Mikolas","STL","31","31","191.0","11","11","17","0","0","197","87","25","144","44","1.27","6.80","2.07","4.10","4.11","","2.1","2.1","","999.0","9803"
"José Quintana","NYM","31","31","167.0","11","10","14","0","0","161","71","20","154","54","1.29","8.29","2.90","3.80","3.85","","2.0","2.0","","999.0","11423"
"Freddy Peralta","MIL","26","26","138.0","9","9","11","0","0","119","61","19","150","52","1.24","9.80","3.41","3.99","4.04","","2.0","2.1","","999.0","18679"
"Lucas Giolito","CHW","31","31","176.0","10","11","15","0","0","164","80","26","180","58","1.26","9.22","2.96","4.12","4.09","","2.0","1.9","","999.0","15474"
"José Berríos","TOR","31","31","176.0","11","10","14","0","0","174","82","26","159","47","1.26","8.16","2.39","4.18","4.15","","2.0","1.6","","999.0","14168"
"Jameson Taillon","","31","31","178.0","10","12","14","0","0","183","87","27","152","45","1.28","7.65","2.26","4.38","4.22","","2.0","1.6","","999.0","11674"
"Garrett Whitlock","BOS","23","35","136.0","8","8","10","0","1","132","61","17","130","39","1.26","8.65","2.58","4.05","3.81","","2.0","1.7","","999.0","20191"
"Brayan Bello","BOS","23","23","128.0","8","8","11","0","0","124","55","12","124","48","1.34","8.72","3.39","3.89","3.62","","1.9","1.9","","999.0","23920"
"Sean Manaea","","28","28","156.0","9","10","13","0","0","153","70","20","146","44","1.26","8.40","2.54","4.02","3.90","","1.9","2.0","","999.0","15873"
"Roansy Contreras","PIT","28","28","153.0","9","10","12","0","0","147","73","21","144","57","1.34","8.48","3.35","4.32","4.24","","1.9","1.5","","999.0","22810"
"Reid Detmers","LAA","28","28","150.0","9","9","12","0","0","138","69","22","154","54","1.28","9.22","3.22","4.16","4.17","","1.9","1.7","","999.0","27468"
"Luis Garcia","HOU","28","28","157.0","10","9","13","0","0","147","72","23","157","50","1.26","9.02","2.87","4.13","4.05","","1.9","1.7","","999.0","23735"
"Justin Steele","CHC","26","26","143.0","9","9","12","0","0","133","61","15","138","57","1.33","8.71","3.62","3.86","3.91","","1.9","2.1","","999.0","17312"
"Alex Wood","SFG","19","47","133.0","8","7","9","0","1","126","53","14","132","34","1.20","8.93","2.30","3.57","3.47","","1.9","2.1","","999.0","13781"
"Jesús Luzardo","MIA","26","26","146.0","9","9","13","0","0","133","63","18","155","55","1.28","9.55","3.39","3.85","3.85","","1.9","2.0","","999.0","19959"
"Lance McCullers Jr.","HOU","26","26","148.0","10","8","13","0","0","138","64","16","146","59","1.33","8.84","3.55","3.87","3.89","","1.9","1.9","","999.0","14120"
