"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Andrew Heaney","TEX","26","26","140.0","9","8","13","0","0","119","55","19","162","38","1.13","10.44","2.45","3.57","3.53","","2.5","2.4","","211.5","15423"
"Jon Gray","TEX","31","31","174.0","10","11","15","0","0","163","76","22","177","56","1.26","9.15","2.90","3.93","3.80","","2.5","2.1","","190.8","14916"
"Kyle Wright","ATL","31","31","184.0","12","10","17","0","0","181","81","20","172","60","1.31","8.39","2.93","3.94","3.77","","2.4","2.6","","118.2","19665"
"Cristian Javier","HOU","29","29","168.0","11","9","15","0","0","139","75","25","203","66","1.22","10.86","3.55","4.00","3.98","","2.3","2.2","","69.8","17606"
"Marcus Stroman","CHC","31","31","178.0","10","11","16","0","0","184","79","20","145","48","1.30","7.34","2.44","3.98","3.86","","2.3","2.3","","282.9","13431"
"Luis Severino","NYY","26","26","145.0","10","8","13","0","0","127","57","18","161","44","1.18","10.01","2.73","3.56","3.55","","2.3","2.3","","109.6","15890"
"George Kirby","SEA","26","26","143.0","9","8","13","0","0","133","57","17","137","33","1.16","8.61","2.06","3.59","3.59","","2.3","2.1","","999.0","25436"
"Nathan Eovaldi","","28","28","155.0","9","10","13","0","0","154","68","21","140","34","1.21","8.11","2.00","3.92","3.85","","2.3","1.9","","256.8","9132"
"Frankie Montas","NYY","28","28","154.0","10","9","14","0","0","143","65","20","152","44","1.22","8.92","2.60","3.78","3.81","","2.3","2.0","","209.4","14309"
"Chris Bassitt","TOR","31","31","180.0","11","10","16","0","0","173","80","23","160","50","1.24","8.01","2.52","3.99","4.02","","2.3","2.1","","157.7","12304"
"Germán Márquez","COL","32","32","193.0","10","13","14","0","0","214","104","28","169","64","1.44","7.86","2.96","4.87","4.34","","2.2","2.2","","455.6","15038"
"Ranger Suárez","PHI","31","31","174.0","11","10","15","0","0","173","76","19","148","63","1.36","7.64","3.27","3.91","4.03","","2.2","2.5","","287.1","17277"
"Nestor Cortes","NYY","29","29","167.0","11","10","15","0","0","152","73","26","176","48","1.20","9.51","2.59","3.92","3.97","","2.2","1.9","","109.9","17874"
"Drew Rasmussen","TBR","31","31","173.0","11","10","15","0","0","167","74","21","156","49","1.25","8.08","2.56","3.82","3.81","","2.2","2.0","","176.9","25385"
"Triston McKenzie","CLE","31","31","184.0","11","11","16","0","0","166","84","29","192","59","1.23","9.40","2.88","4.11","4.14","","2.2","2.1","","91.1","18000"
"Dustin May","LAD","19","37","125.0","8","7","9","0","1","112","51","14","138","40","1.22","9.93","2.90","3.64","3.48","","2.2","1.9","","157.1","19716"
"Sonny Gray","MIN","28","28","151.0","9","9","12","0","0","145","67","17","146","52","1.30","8.68","3.07","4.00","3.85","","2.2","1.6","","219.5","12768"
