"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Jacob deGrom","TEX","29","29","172.0","12","8","20","0","0","128","51","17","236","35","0.95","12.32","1.85","2.64","2.34","","5.5","5.1","","999.0","10954"
"Corbin Burnes","MIL","32","32","197.0","13","10","21","0","0","161","69","21","240","54","1.09","10.96","2.46","3.14","3.01","","4.9","4.9","","999.0","19361"
"Carlos Rodón","","31","31","181.0","12","9","19","0","0","142","64","20","230","53","1.08","11.46","2.62","3.19","3.00","","4.7","4.3","","999.0","16137"
"Gerrit Cole","NYY","32","32","197.0","14","9","21","0","0","159","70","25","249","49","1.05","11.37","2.23","3.18","3.03","","4.4","4.1","","999.0","13125"
"Shohei Ohtani","LAA","29","29","173.0","12","8","18","0","0","139","61","19","217","51","1.09","11.27","2.64","3.15","3.05","","4.4","4.1","","999.0","19755"
"Max Scherzer","NYM","31","31","191.0","13","9","20","0","0","159","71","25","229","42","1.05","10.76","1.96","3.32","3.20","","4.3","3.7","","999.0","3137"
"Justin Verlander","NYM","31","31","190.0","13","9","19","0","0","163","71","25","214","39","1.06","10.14","1.85","3.36","3.30","","4.2","3.6","","999.0","8700"
"Aaron Nola","PHI","32","32","199.0","13","10","20","0","0","179","77","25","218","43","1.12","9.86","1.95","3.48","3.32","","4.2","4.2","","999.0","16149"
"Shane McClanahan","TBR","31","31","184.0","13","9","20","0","0","152","62","18","214","51","1.10","10.47","2.50","3.02","2.99","","4.0","4.1","","999.0","21483"
"Sandy Alcantara","MIA","32","32","211.0","12","12","22","0","0","198","83","21","200","55","1.20","8.56","2.33","3.55","3.42","","4.0","3.7","","999.0","18684"
"Zack Wheeler","PHI","31","31","189.0","12","10","19","0","0","173","72","21","190","45","1.15","9.02","2.16","3.44","3.38","","3.9","4.0","","999.0","10310"
"Spencer Strider","ATL","28","28","154.0","12","7","16","0","0","117","53","16","207","57","1.13","12.12","3.31","3.11","2.95","","3.7","3.9","","999.0","27498"
"Framber Valdez","HOU","31","31","196.0","13","9","21","0","0","180","70","14","185","68","1.27","8.53","3.15","3.24","3.32","","3.7","4.0","","999.0","17295"
"Shane Bieber","CLE","32","32","203.0","13","10","21","0","0","187","79","24","208","49","1.17","9.25","2.18","3.50","3.40","","3.7","3.7","","999.0","19427"
