"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Pete Alonso","NYM","150","649","567","148","27","1","39","92","110","66","127","10","3","2","",".261",".347",".520",".868",".367","144","","-2.5","0.1","","31.0","-12.5","4.2","","999.0","19251"
"George Springer","TOR","141","650","568","146","25","3","30","97","79","63","122","8","11","4","",".258",".339",".473",".812",".352","132","","0.5","0.2","","23.8","-4.9","4.2","","999.0","12856"
"Gunnar Henderson","BAL","139","612","531","135","28","4","21","75","78","69","150","6","10","4","",".254",".344",".443",".788",".344","126","","-0.5","-3.1","","17.5","2.4","4.1","","999.0","26289"
"Sean Murphy","ATL","133","563","494","121","29","2","21","69","72","53","122","10","1","1","",".245",".328",".435",".763",".333","112","","-0.7","1.1","","7.4","5.5","4.1","","999.0","19352"
"Luis Robert Jr.","CHW","139","614","567","160","33","1","25","78","86","35","123","7","13","5","",".283",".329",".475",".804",".347","127","","1.2","-2.6","","20.0","-0.7","4.1","","999.0","20043"
"Yandy Díaz","TBR","141","641","544","154","32","1","14","87","63","82","86","6","5","2","",".283",".380",".424",".804",".355","138","","-1.9","-2.2","","25.8","-7.4","4.1","","999.0","16578"
"Bryan Reynolds","PIT","150","675","589","157","30","5","24","91","83","67","144","10","7","3","",".266",".349",".457",".806",".348","125","","-0.6","-6.0","","19.0","-3.7","4.0","","999.0","19326"
"Andrés Giménez","CLE","144","596","535","143","29","3","19","72","75","37","118","17","17","6","",".267",".331",".436",".767",".333","118","","0.9","2.9","","13.0","5.7","4.0","","999.0","19950"
"Bobby Witt Jr.","KCR","149","669","613","161","35","5","26","89","84","40","134","7","27","10","",".262",".312",".462",".774",".333","115","","2.0","-4.1","","13.1","2.8","3.9","","999.0","25764"
"Willy Adames","MIL","146","653","580","141","30","1","28","85","81","61","173","3","8","4","",".244",".316",".441",".757",".328","111","","0.8","-1.5","","9.2","5.8","3.9","","999.0","15986"
"Byron Buxton","MIN","130","586","527","126","28","3","32","82","81","42","163","9","9","3","",".239",".304",".486",".789",".339","124","","0.9","3.6","","16.6","1.0","3.8","","999.0","14161"
"Oneil Cruz","PIT","130","589","524","131","24","5","27","83","72","51","159","5","18","6","",".250",".320",".471",".791",".341","120","","0.7","-3.5","","14.4","1.9","3.8","","999.0","21711"
"Jeff McNeil","NYM","146","611","551","160","35","1","12","70","71","42","74","10","3","1","",".290",".349",".423",".772",".338","124","","-1.0","-2.0","","16.2","-2.4","3.6","","999.0","15362"
"Steven Kwan","CLE","141","647","566","160","29","6","11","87","58","64","67","7","16","5","",".283",".361",".413",".774",".341","123","","1.0","1.5","","18.0","-4.4","3.6","","999.0","24610"
"Tommy Edman","STL","147","668","607","160","34","3","13","86","62","44","108","7","27","7","",".263",".318",".396",".713",".312","104","","3.8","-2.4","","7.2","4.4","3.6","","999.0","19470"
"Matt Chapman","TOR","150","625","542","120","25","2","27","75","81","68","182","7","3","1","",".221",".313",".423",".736",".322","111","","0.4","3.0","","8.1","5.5","3.5","","999.0","16505"
"Nico Hoerner","CHC","136","602","545","153","29","4","11","73","57","40","75","8","18","6","",".280",".335",".411",".746",".324","110","","0.6","3.4","","7.3","5.9","3.5","","999.0","21479"
"Brandon Lowe","TBR","134","585","515","124","26","2","27","75","82","57","142","8","4","2","",".240",".323",".456",".778",".338","126","","1.0","-1.7","","18.3","-3.7","3.5","","999.0","18882"
"Jazz Chisholm Jr.","MIA","134","606","543","133","24","5","28","82","76","49","153","6","26","11","",".245",".312",".462",".774",".335","118","","1.2","-2.2","","14.2","-1.4","3.5","","999.0","20454"
"Gleyber Torres","NYY","138","612","548","144","27","1","23","80","73","51","127","4","13","5","",".262",".327",".443",".771",".335","120","","0.0","-0.6","","13.7","-0.4","3.4","","999.0","16997"
"Anthony Rendon","LAA","138","583","504","130","31","1","18","71","72","66","102","6","3","1","",".258",".348",".432",".781",".342","123","","0.0","-2.0","","14.8","-1.0","3.4","","999.0","12861"
"Amed Rosario","CLE","143","640","597","166","28","7","13","78","69","30","112","4","13","5","",".277",".314",".413",".727",".316","106","","1.2","-0.7","","5.6","6.4","3.4","","999.0","15518"
