"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Juan Graterol","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".282",".321",".603",".268","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","5398"
"Johnathan Rodriguez","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".284",".425",".709",".306","99","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004147"
"Tristin English","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".291",".368",".659",".290","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876328"
"Jack Conley","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".277",".323",".600",".268","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006857"
"Miguel Palma","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".260",".337",".597",".264","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3009279"
"CJ Alexander","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".273",".396",".668",".290","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006912"
"Brewer Hicklen","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".295",".395",".690",".302","93","","0.0","0.0","","0.0","0.0","0.0","","999.0","20450"
"Eddy Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".307",".357",".664",".295","90","","0.0","0.0","","0.0","0.0","0.0","","999.0","16959"
"Scott Kapers","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".260",".337",".597",".264","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007013"
"Andy Weber","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".290",".335",".625",".277","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008282"
"Pete Crow-Armstrong","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".281",".375",".656",".286","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014458"
"Domingo Leyba","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".297",".369",".666",".293","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","16404"
"Ford Proctor","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".307",".328",".635",".286","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","21634"
"D.J. Burt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".306",".324",".630",".283","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828876"
"Elih Marrero","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".290",".312",".603",".271","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007822"
"Dom Nuñez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".278",".326",".603",".270","73","","0.0","0.0","","0.0","0.0","0.0","","999.0","15055"
"Roby Enriquez","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".310",".397",".707",".309","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3018209"
"Christian Kelley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".275",".319",".594",".265","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875583"
"Jackson Chourio","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".268",".394",".663",".287","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3015704"
"Tucker Bradley","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".318",".386",".705",".310","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014937"
"Tyler Wade","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".303",".330",".633",".283","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","15730"
"Nasim Nuñez","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".304",".286",".590",".270","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010695"
"Eliezer Alfonzo","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".269",".324",".592",".262","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003262"
"Dylan Busby","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".266",".388",".654",".286","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915789"
"Tim Tawa","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".297",".355",".652",".289","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3016970"
"Ray-Patrick Didder","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".288",".326",".615",".274","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736824"
"Hayden Senger","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".263",".313",".575",".256","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007009"
"Ryan Boldt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".282",".367",".649",".285","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738262"
"Sheldon Neuse","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".297",".372",".669",".294","90","","0.0","0.0","","0.0","0.0","0.0","","999.0","19635"
"Robert Neustrom","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".297",".398",".695",".304","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006667"
"Isaac Collins","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".305",".335",".640",".286","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3009884"
"Chase Pinder","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".313",".361",".674",".301","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003961"
"Luis De Los Santos","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".272",".353",".624",".274","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917822"
"Marty Costes","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".322",".361",".683",".304","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006783"
"Max Schuemann","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".294",".317",".611",".275","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007511"
"Freddy Zamora","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".289",".331",".621",".276","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014500"
"Jorbit Vivas","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".300",".337",".637",".284","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005511"
"Mickey Gasper","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".324",".386",".710",".315","106","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007747"
"David Masters","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".282",".368",".651",".286","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa602586"
"Wilson Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".290",".372",".662",".291","87","","0.0","0.0","","0.0","0.0","0.0","","999.0","1433"
"Bret Boswell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".281",".365",".647",".285","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918769"
"Isiah Gilliam","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".299",".396",".695",".304","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829343"
"Carlos Rincon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".287",".414",".701",".305","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917319"
"Joe McCarthy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".310",".399",".709",".311","101","","0.0","0.0","","0.0","0.0","0.0","","999.0","18399"
"Arquímedes Gamboa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".296",".310",".606",".275","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877497"
"Evan Mendoza","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".296",".299",".595",".269","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002836"
"Justin Yurchak","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".324",".389",".714",".315","104","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915590"
"Cam Eden","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".278",".358",".637",".280","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3009883"
"Trey Cabbage","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".294",".442",".736",".318","105","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875022"
"Trevor Hauver","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".321",".362",".683",".304","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014448"
"Lucas Erceg","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".279",".369",".648",".286","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872722"
"Herbert Iser","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".271",".333",".604",".266","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010679"
"Wilfredo Tovar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".302",".332",".634",".283","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","10416"
"Lorenzo Cedrola","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".288",".361",".648",".284","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872850"
"Vince Fernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".292",".408",".699",".305","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873990"
"Nick Ciuffo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".265",".333",".598",".265","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","16291"
"Narciso Crook","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".301",".414",".715",".312","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","17473"
"Ruben Cardenas","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".279",".402",".682",".296","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007505"
"Damiano Palmegiani","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".268",".376",".644",".283","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3017326"
"Peter Maris","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".280",".366",".647",".284","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877608"
"DJ Peters","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".280",".394",".674",".293","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","19348"
"Tyler Payne","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".267",".332",".598",".264","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","21139"
"Gage Workman","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".260",".357",".618",".270","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014441"
"Tyler Cropley","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".272",".326",".598",".266","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007510"
"Christian Colón","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".304",".351",".655",".291","88","","0.0","0.0","","0.0","0.0","0.0","","999.0","11145"
"Jake Palomaki","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".304",".298",".603",".273","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007003"
"Malcom Nunez","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".316",".406",".722",".317","103","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008113"
"John Ryan Murphy","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".255",".327",".582",".258","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","10346"
"Marco Luciano","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".269",".347",".616",".272","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010022"
"Jesse Franklin V","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".291",".417",".708",".308","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014532"
"David García","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".265",".328",".592",".262","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003197"
"Anthony Seigler","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".287",".277",".564",".260","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006894"
"Johan Rojas","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".285",".359",".644",".283","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005784"
"C.J. Stubbs","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".251",".337",".588",".260","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010328"
"Edgar Cabral","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".269",".315",".584",".262","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738507"
"Robert Perez Jr.","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".296",".407",".703",".307","105","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002851"
"Miguelangel Sierra","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".275",".369",".643",".283","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872750"
"Hayden Cantrelle","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".305",".310",".615",".280","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014426"
"Allan Cerda","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".302",".415",".717",".314","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005504"
"Ryan LaMarre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".314",".370",".684",".303","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","10700"
"Jack Kruger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".270",".317",".587",".261","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","19634"
"John Aiello","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".314",".397",".711",".313","104","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007012"
"Cody Milligan","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".316",".319",".635",".286","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1169818"
"Jimmy Govern","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".277",".378",".656",".286","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010166"
"Diego Infante","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".291",".382",".672",".294","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003280"
"Chris Herrmann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".273",".316",".589",".262","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","9284"
"Josh Ockimey","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".321",".388",".709",".314","103","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829375"
"Chad De La Guerra","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".285",".354",".639",".283","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875729"
"Dustin Garneau","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".268",".344",".612",".272","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","9433"
"Nick Conti","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".297",".335",".632",".282","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010844"
"Thomas Milone","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".294",".339",".633",".282","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737640"
"Cadyn Grenier","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".293",".302",".594",".270","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008140"
"Trenton Brooks","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".310",".384",".694",".306","104","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873268"
"Renato Núñez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".295",".408",".704",".307","99","","0.0","0.0","","0.0","0.0","0.0","","999.0","14503"
"Darrien Miller","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".272",".307",".579",".262","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011330"
"Brandon Valenzuela","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".273",".292",".565",".256","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005729"
"Darren Baker","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".300",".343",".643",".285","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3017554"
"Colby Fitch","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".277",".296",".573",".260","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915614"
"Casey Golden","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".300",".449",".749",".324","94","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873997"
"Chase Calabuig","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".314",".343",".658",".294","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006927"
"Jon Rosoff","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".276",".296",".573",".258","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007635"
"Brady Lindsly","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".267",".325",".592",".263","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014942"
"Will Banfield","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".252",".335",".587",".258","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007973"
"Cole Freeman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".296",".333",".629",".280","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915838"
"Jasson Domínguez","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".281",".351",".632",".279","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014696"
"Rayder Ascanio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".286",".353",".638",".281","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa735861"
"Michael Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".276",".346",".622",".276","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","12977"
"Justin Toerner","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".295",".317",".612",".277","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006735"
"Grant Witherspoon","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".287",".383",".670",".293","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007047"
"Zavier Warren","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".282",".359",".641",".283","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014549"
"Micah Pries","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".306",".414",".720",".311","103","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014830"
"Zac Cook","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".269",".363",".632",".279","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3015090"
"Eric Filia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".327",".344",".671",".302","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827359"
"Josh Stephen","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".305",".377",".681",".301","94","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918203"
"Brian O'Grady","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".297",".394",".691",".303","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","16729"
"Brandon McIlwain","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".277",".338",".615",".273","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3015076"
"Jerar Encarnacion","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".290",".400",".689",".301","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","21871"
"Ismael Alcantara","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".270",".366",".636",".279","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002862"
"Zack Collins","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".312",".365",".677",".302","93","","0.0","0.0","","0.0","0.0","0.0","","999.0","19181"
"Roman Quinn","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".290",".332",".621",".278","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","13546"
"Logan Davidson","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".272",".316",".588",".263","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918676"
"Tyler Friis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".298",".328",".626",".280","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915593"
"Will Craig","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".294",".422",".717",".310","100","","0.0","0.0","","0.0","0.0","0.0","","999.0","19267"
"José Marmolejos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".312",".400",".712",".311","101","","0.0","0.0","","0.0","0.0","0.0","","999.0","15767"
"Shane Matheny","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".294",".329",".623",".279","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004780"
"Yeiner Fernandez","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".265",".314",".578",".258","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3015182"
"Forrest Wall","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".291",".327",".618",".275","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828682"
"Griffin Conine","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".284",".400",".684",".298","94","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876060"
"Abrahan Gutierrez","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".274",".307",".581",".261","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004263"
"Tim Susnara","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".269",".309",".578",".259","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829699"
"Carlos Martínez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".262",".323",".586",".259","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737214"
"Sandro Fabian","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".281",".411",".693",".301","94","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872803"
"Jack Larsen","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".303",".364",".667",".295","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","20510"
"Justin Dean","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".295",".337",".632",".282","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007070"
"Jancarlos Cintron","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".289",".355",".644",".283","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004065"
"Connor Lien","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".273",".360",".633",".280","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658195"
"Ripken Reyes","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".303",".304",".606",".275","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010159"
"Domingo Santana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".317",".395",".712",".314","103","","0.0","0.0","","0.0","0.0","0.0","","999.0","10348"
"Nate Mondou","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".305",".325",".630",".283","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","19563"
"Michael Beltre","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".303",".365",".668",".297","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736945"
"DaShawn Keirsey Jr.","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".276",".348",".624",".275","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007301"
"Noah Cardenas","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".277",".283",".560",".256","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3017624"
"Kellin Deglan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".263",".319",".582",".259","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548189"
"Grae Kessinger","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".275",".323",".598",".267","72","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010327"
"Jason Krizan","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".301",".388",".688",".302","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","12394"
"Jhailyn Ortiz","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".289",".405",".694",".302","93","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa920180"
"Nick Quintana","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".295",".361",".655",".291","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010390"
"Will Toffey","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".291",".338",".630",".282","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829401"
"Starlin Castro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".296",".365",".661",".290","87","","0.0","0.0","","0.0","0.0","0.0","","999.0","4579"
"Chris Betts","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".254",".324",".578",".258","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874791"
"Dalton Rushing","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".256",".322",".578",".256","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3019892"
